connectionId;legacyCode;code;alias;initials;accountCode;scheduledBeepId;sentBeepId;reminderForOriginalSentBeepId;questionListName;questionListLabel;fromProtocolName;timeStampScheduled;timeStampSent;timeStampStart;timeStampStop;originalTimeStampSent;timeZoneOffset;deltaUTC;consent_yesno_yesno;gender_multipleChoice_index;gender_multipleChoice_string;gender_multipleChoice_likert;age_open;SWLS_intro_basic;SWLS_1_multipleChoice_index;SWLS_1_multipleChoice_string;SWLS_1_multipleChoice_likert;SWLS_2_multipleChoice_index;SWLS_2_multipleChoice_string;SWLS_2_multipleChoice_likert;SWLS_3_multipleChoice_index;SWLS_3_multipleChoice_string;SWLS_3_multipleChoice_likert;SWLS_4_multipleChoice_index;SWLS_4_multipleChoice_string;SWLS_4_multipleChoice_likert;SWLS_5_multipleChoice_index;SWLS_5_multipleChoice_string;SWLS_5_multipleChoice_likert;BFI_neuroticism_intro_basic;BFI_neuroticism_4_multipleChoice_index;BFI_neuroticism_4_multipleChoice_string;BFI_neuroticism_4_multipleChoice_likert;BFI_neuroticism_9R_multipleChoice_index;BFI_neuroticism_9R_multipleChoice_string;BFI_neuroticism_9R_multipleChoice_likert;BFI_neuroticism_14_multipleChoice_index;BFI_neuroticism_14_multipleChoice_string;BFI_neuroticism_14_multipleChoice_likert;BFI_neuroticism_19_multipleChoice_index;BFI_neuroticism_19_multipleChoice_string;BFI_neuroticism_19_multipleChoice_likert;BFI_neuroticism_24R_multipleChoice_index;BFI_neuroticism_24R_multipleChoice_string;BFI_neuroticism_24R_multipleChoice_likert;BFI_neuroticism_29_multipleChoice_index;BFI_neuroticism_29_multipleChoice_string;BFI_neuroticism_29_multipleChoice_likert;BFI_neuroticism_34R_multipleChoice_index;BFI_neuroticism_34R_multipleChoice_string;BFI_neuroticism_34R_multipleChoice_likert;BFI_neuroticism_39_multipleChoice_index;BFI_neuroticism_39_multipleChoice_string;BFI_neuroticism_39_multipleChoice_likert;intake_outro_basic;slider_happy_sliderNeutralPos;slider_sad_sliderNegPos;slider_angry_sliderNegPos;slider_relaxed_sliderNegPos;slider_anxious_sliderNegPos;slider_energetic_sliderNegPos;slider_tired_sliderNegPos;context_location_multipleChoice_index;context_location_multipleChoice_string;context_location_multipleChoice_likert;context_company_multipleChoice_index;context_company_multipleChoice_string;context_company_multipleChoice_likert;context_activity_multipleChoice_index;context_activity_multipleChoice_string;context_activity_multipleChoice_likert;step_count_steps;main_outro_basic;evening_questionnaire_warning_basic;evening_slider_happy_sliderNeutralPos;evening_slider_sad_sliderNegPos;evening_slider_angry_sliderNegPos;evening_slider_relaxed_sliderNegPos;evening_slider_anxious_sliderNegPos;evening_slider_energetic_sliderNegPos;evening_slider_tired_sliderNegPos;evening_yesno_stressful_yesno;evening_yesno_positive_yesno;positive_description_open;evening_context_activity_multipleChoice_index;evening_context_activity_multipleChoice_string;evening_context_activity_multipleChoice_likert;evening_outro_basic;stressful_description_open
234980;!v57g@jp7a7;"!xxgo maxo";orange;ora;jp7a7;28676354;19506624;0;main_questionnaire;;mpath_package_study;1714247995;1714247998;1714248010;1714248032;0;7200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74;0;0;32;64;24;92;3;"""Home""";;1;"""Alone""";;2;"""Engaging in a hobby""";;143436;1;;;;;;;;;;;;;;;;
234980;!v57g@jp7a7;"!xxgo maxo";orange;ora;jp7a7;28676353;19509453;0;main_questionnaire;;mpath_package_study;1714253684;1714253685;1714253693;1714253747;0;7200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;0;0;72;32;0;74;3;"""Home""";;1;"""Alone""";;2;"""Engaging in a hobby""";;0;1;;;;;;;;;;;;;;;;
234980;!v57g@jp7a7;"!xxgo maxo";orange;ora;jp7a7;28676372;19512284;0;main_questionnaire;;mpath_package_study;1714298245;1714298248;1714298718;1714298743;0;7200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;0;0;59;64;0;80;3;"""Home""";;1;"""Alone""";;1;"""Working or studying""";;143679;1;;;;;;;;;;;;;;;;
234980;!v57g@jp7a7;"!xxgo maxo";orange;ora;jp7a7;28676371;19513081;0;main_questionnaire;;mpath_package_study;1714300493;1714300494;1714302022;1714302040;0;7200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;54;61;4;85;44;70;3;"""Home""";;1;"""Alone""";;1;"""Working or studying""";;143732;1;;;;;;;;;;;;;;;;
234980;!v57g@jp7a7;"!xxgo maxo";orange;ora;jp7a7;28676370;19514774;0;main_questionnaire;;mpath_package_study;1714307562;1714307565;1714307946;1714307995;0;7200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;28;0;74;50;58;40;3;"""Home""";;1;"""Alone""";;1;"""Working or studying""";;143815;1;;;;;;;;;;;;;;;;
234980;!v57g@jp7a7;"!xxgo maxo";orange;ora;jp7a7;28676369;19515714;0;main_questionnaire;;mpath_package_study;1714312256;1714312259;1714312603;1714318284;0;7200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;0;0;70;33;63;37;3;"""Home""";;1;"""Alone""";;6;"""Eating or drinking""";;144050;1;;;;;;;;;;;;;;;;
234980;!v57g@jp7a7;"!xxgo maxo";orange;ora;jp7a7;28676368;19517443;0;main_questionnaire;;mpath_package_study;1714319769;1714319770;1714320156;1714320177;0;7200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;0;0;68;40;73;30;3;"""Home""";;1;"""Alone""";;8;"""Other""";;0;1;;;;;;;;;;;;;;;;
234980;!v57g@jp7a7;"!xxgo maxo";orange;ora;jp7a7;28676367;19518137;0;main_questionnaire;;mpath_package_study;1714321923;1714321924;1714322357;1714322480;0;7200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;0;0;64;69;55;11;7;"""bus""";;4;"""With one or more people I don't know""";;3;"""Travelling""";;144610;1;;;;;;;;;;;;;;;;
234980;!v57g@jp7a7;"!xxgo maxo";orange;ora;jp7a7;28676366;19519998;0;main_questionnaire;;mpath_package_study;1714330111;1714330114;1714330174;1714330230;0;7200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;76;0;0;88;57;41;59;4;"""bus""";;4;"""With one or more people I don't know""";;3;"""Travelling""";;146398;1;;;;;;;;;;;;;;;;
234980;!v57g@jp7a7;"!xxgo maxo";orange;ora;jp7a7;28676365;19522406;0;main_questionnaire;;mpath_package_study;1714334585;1714334587;1714335098;1714335119;0;7200;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;0;0;31;66;63;23;3;"""Home""";;1;"""Alone""";;1;"""Working or studying""";;146874;1;;;;;;;;;;;;;;;;
